subgroup,n_rows,est,ci_lb,ci_ub
sens_modality_radiographs,37,0.9052597393421896,0.8776820172295663,0.9271359899696929
sens_modality_ct,8,0.8662758716845381,0.8378958108369609,0.8903376305896067
sens_anatomy_axial,13,0.8547906556575784,0.7954371175705116,0.8991072175809213
sens_anatomy_lower_limb,12,0.8966629352902988,0.8489876460430064,0.930518719416062
sens_anatomy_upper_limb,15,0.9125106366249663,0.870737678541109,0.9416881103683481
sens_anatomy_skull,4,0.922630198423314,0.7613458744955346,0.978058539253371
sens_validation_internal,3,0.894578246011526,0.8128377163733684,0.9431179386560087
sens_validation_external,12,0.901643287962795,0.8722143395166235,0.9248784952888267
sens_population_adults,5,0.9052206740273209,0.8703761803050087,0.9314363883684628
sens_population_paediatric,2,0.918376984984856,0.5532741776992836,0.990311546266538
